state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Jharkhand,Bokaro,Population and Household Profile,1,Population below age 5 years (%),7.9,7.9,False,False
Jharkhand,Bokaro,Population and Household Profile,2,Population below age 15 years (%),26.5,27.3,False,False
Jharkhand,Bokaro,Population and Household Profile,3,Population age 60 years and above (%),11.6,11.0,False,False
Jharkhand,Bokaro,Population and Household Profile,4,Population living in households with electricity (%),98.5,97.3,False,False
Jharkhand,Bokaro,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),82.4,86.4,False,False
Jharkhand,Bokaro,Population and Household Profile,6,Households using iodized salt (%),97.5,95.7,False,False
Jharkhand,Bokaro,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),65.7,44.7,False,False
Jharkhand,Bokaro,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.4,95.8,False,False
Jharkhand,Bokaro,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),71.4,71.5,False,False
Jharkhand,Bokaro,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),11.2,8.1,False,False
Jharkhand,Bokaro,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),60.0,35.7,False,False
Jharkhand,Bokaro,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),48.5,45.0,False,False
Jharkhand,Bokaro,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),57.8,59.6,False,False
Jharkhand,Bokaro,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),68.9,36.2,False,False
Jharkhand,Bokaro,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),77.7,64.4,False,False
Jharkhand,Bokaro,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),17.3,26.3,False,False
Jharkhand,Bokaro,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),4.4,*,True,False
Jharkhand,Bokaro,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.2,1.2,False,False
Jharkhand,Bokaro,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.3,5.9,False,False
Jharkhand,Bokaro,Marriage and Fertility,20,Any method2 (%),73.1,68.5,False,False
Jharkhand,Bokaro,Marriage and Fertility,21,Any modern method2 (%),56.1,59.6,False,False
Jharkhand,Bokaro,Marriage and Fertility,22,Any traditional method (%),17.0,8.9,False,False
Jharkhand,Bokaro,Marriage and Fertility,23,Female sterilization (%),44.9,45.2,False,False
Jharkhand,Bokaro,Marriage and Fertility,24,Male sterilization (%),1.6,0.4,False,False
Jharkhand,Bokaro,Marriage and Fertility,25,Total unmet need3 (%),8.3,9.5,False,False
Jharkhand,Bokaro,Marriage and Fertility,26,Unmet need for spacing3 (%),3.9,4.1,False,False
Jharkhand,Bokaro,Marriage and Fertility,27,Unmet need for limiting3 (%),4.4,5.4,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),83.8,68.2,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),98.3,90.1,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),64.3,48.7,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus 4 (%),95.4,90.0,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),41.7,29.6,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.2,22.5,False,False
Jharkhand,Bokaro,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.7,87.9,False,False
Jharkhand,Bokaro,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),84.7,80.9,False,False
Jharkhand,Bokaro,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),40.6,44.6,False,False
Jharkhand,Bokaro,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),89.5,86.5,False,False
Jharkhand,Bokaro,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),28.8,21.0,False,False
Jharkhand,Bokaro,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),54.4,41.5,False,False
Jharkhand,Bokaro,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),11.9,13.4,False,False
Jharkhand,Bokaro,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,81.3,73.5,False,False
Jharkhand,Bokaro,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),4.9,2.5,True,False
Jharkhand,Bokaro,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,86.0,70.0,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,81.3,71.0,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only 7 (%),91.9,72.9,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),94.6,97.0,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),94.6,97.0,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),81.3,76.9,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),86.9,85.4,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.8,92.3,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),71.7,70.1,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),56.8,54.7,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),86.4,75.2,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.5,80.2,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.5,95.1,False,False
Jharkhand,Bokaro,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.4,4.9,False,False
Jharkhand,Bokaro,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.1,15.6,False,False
Jharkhand,Bokaro,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,2.2,False,False
Jharkhand,Bokaro,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,55.2,62.1,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),39.7,18.0,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),54.4,60.9,True,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),92.8,92.3,True,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,87.6,77.8,True,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,True,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",11.1,16.5,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",*,*,True,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",10.4,18.1,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),29.4,36.2,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),20.9,19.7,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),3.7,9.5,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),40.6,32.3,False,False
Jharkhand,Bokaro,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),3.0,3.0,False,False
Jharkhand,Bokaro,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),22.8,26.6,False,False
Jharkhand,Bokaro,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),21.0,15.1,False,False
Jharkhand,Bokaro,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),8.3,4.0,False,False
Jharkhand,Bokaro,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),8.1,5.0,False,False
Jharkhand,Bokaro,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),16.7,9.4,False,False
Jharkhand,Bokaro,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),10.9,6.4,False,False
Jharkhand,Bokaro,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),14.0,7.4,False,False
Jharkhand,Bokaro,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level 16 (%),25.6,14.8,False,False
Jharkhand,Bokaro,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),5.8,13.2,False,False
Jharkhand,Bokaro,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,3.8,6.2,False,False
Jharkhand,Bokaro,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,13.4,21.5,False,False
Jharkhand,Bokaro,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),6.1,17.9,False,False
Jharkhand,Bokaro,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,5.2,8.0,False,False
Jharkhand,Bokaro,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,15.0,27.5,False,False
Jharkhand,Bokaro,Men,87,Women having a bank or savings account that they themselves use (%),89.6,79.1,False,False
Jharkhand,Bokaro,Men,88,Women having a mobile phone that they themselves use (%),56.4,56.6,False,False
Jharkhand,Bokaro,Men,89,Women age 15-24 years who use hygienic methods of protection during their menstrual period17 (%),90.7,80.0,False,False
Jharkhand,Bokaro,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),90,Women age 15 years and above who use any kind of tobacco (%),8.0,9.0,False,False
Jharkhand,Bokaro,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),91,Men age 15 years and above who use any kind of tobacco (%),42.6,45.0,False,False
Jharkhand,Bokaro,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),92,Women age 15 years and above who consume alcohol (%),1.2,2.0,False,False
Jharkhand,Bokaro,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),93,Men age 15 years and above who consume alcohol (%),26.3,27.9,False,False
Jharkhand,Chatra,Population and Household Profile,1,Population below age 5 years (%),10.8,12.0,False,False
Jharkhand,Chatra,Population and Household Profile,2,Population below age 15 years (%),34.7,36.8,False,False
Jharkhand,Chatra,Population and Household Profile,3,Population age 60 years and above (%),10.7,10.0,False,False
Jharkhand,Chatra,Population and Household Profile,4,Population living in households with electricity (%),92.8,92.1,False,False
Jharkhand,Chatra,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),88.2,83.3,False,False
Jharkhand,Chatra,Population and Household Profile,6,Households using iodized salt (%),96.1,97.8,False,False
Jharkhand,Chatra,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),52.4,46.5,False,False
Jharkhand,Chatra,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.2,96.9,False,False
Jharkhand,Chatra,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),64.8,60.7,False,False
Jharkhand,Chatra,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),20.1,7.2,False,False
Jharkhand,Chatra,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),43.6,17.0,False,False
Jharkhand,Chatra,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),37.7,27.7,False,False
Jharkhand,Chatra,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),44.7,44.2,False,False
Jharkhand,Chatra,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),59.2,24.8,False,False
Jharkhand,Chatra,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),80.1,55.9,False,False
Jharkhand,Chatra,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),26.1,31.7,False,False
Jharkhand,Chatra,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,19.3,True,False
Jharkhand,Chatra,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),2.2,2.6,False,False
Jharkhand,Chatra,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),11.5,11.6,False,False
Jharkhand,Chatra,Marriage and Fertility,20,Any method2 (%),60.4,59.5,False,False
Jharkhand,Chatra,Marriage and Fertility,21,Any modern method2 (%),50.5,51.8,False,False
Jharkhand,Chatra,Marriage and Fertility,22,Any traditional method (%),9.9,7.7,False,False
Jharkhand,Chatra,Marriage and Fertility,23,Female sterilization (%),45.3,45.9,False,False
Jharkhand,Chatra,Marriage and Fertility,24,Male sterilization (%),0.6,0.5,False,False
Jharkhand,Chatra,Marriage and Fertility,25,Total unmet need3 (%),14.9,10.1,False,False
Jharkhand,Chatra,Marriage and Fertility,26,Unmet need for spacing3 (%),9.4,4.6,False,False
Jharkhand,Chatra,Marriage and Fertility,27,Unmet need for limiting3 (%),5.5,5.5,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),60.5,57.1,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),95.5,84.6,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),39.4,32.4,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus 4 (%),92.9,84.9,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.1,28.2,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),17.1,15.4,False,False
Jharkhand,Chatra,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),89.0,93.1,False,False
Jharkhand,Chatra,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),78.1,71.5,False,False
Jharkhand,Chatra,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),54.0,51.8,False,False
Jharkhand,Chatra,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),81.2,73.5,False,False
Jharkhand,Chatra,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),15.8,14.1,False,False
Jharkhand,Chatra,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),61.1,57.8,False,False
Jharkhand,Chatra,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),2.1,5.2,False,False
Jharkhand,Chatra,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),68.1,61.2,False,False
Jharkhand,Chatra,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),4.8,0.0,False,False
Jharkhand,Chatra,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),75.2,59.1,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),71.2,71.7,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only 7 (%),76.3,82.4,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),98.2,93.5,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),96.5,91.5,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),72.9,73.6,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),81.0,80.7,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.1,78.7,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),66.5,68.5,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),58.1,46.5,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),79.9,75.1,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.0,70.7,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,99.0,False,False
Jharkhand,Chatra,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.0,False,False
Jharkhand,Chatra,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.2,4.5,False,False
Jharkhand,Chatra,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,1.4,False,False
Jharkhand,Chatra,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),58.4,50.3,True,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth 9 (%),44.5,24.8,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),71.9,78.1,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),98.4,98.6,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other milk only10 (%),93.2,84.5,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),65.5,47.8,True,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",16.8,6.1,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",*,*,True,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",16.0,6.1,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),37.4,42.2,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),15.4,17.2,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),6.0,3.9,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),38.5,39.8,False,False
Jharkhand,Chatra,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),0.1,1.3,False,False
Jharkhand,Chatra,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),32.2,32.2,False,False
Jharkhand,Chatra,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),14.3,10.4,False,False
Jharkhand,Chatra,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),5.9,4.8,False,False
Jharkhand,Chatra,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),6.9,5.1,False,False
Jharkhand,Chatra,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),13.2,10.8,False,False
Jharkhand,Chatra,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),8.4,7.3,False,False
Jharkhand,Chatra,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),8.8,5.4,False,False
Jharkhand,Chatra,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level 16 (%),18.0,13.1,False,False
Jharkhand,Chatra,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.9,8.7,False,False
Jharkhand,Chatra,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.5,5.0,False,False
Jharkhand,Chatra,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.3,16.0,False,False
Jharkhand,Chatra,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.2,13.3,False,False
Jharkhand,Chatra,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),8.6,6.7,False,False
Jharkhand,Chatra,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.1,22.1,False,False
Jharkhand,Chatra,Men,87,Women having a bank or savings account that they themselves use (%),93.3,84.8,False,False
Jharkhand,Chatra,Men,88,Women having a mobile phone that they themselves use (%),57.8,33.7,False,False
Jharkhand,Chatra,Men,89,Women age 15-24 years who use hygienic methods of protection during their menstrual period17 (%),72.0,66.9,False,False
Jharkhand,Chatra,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),90,Women age 15 years and above who use any kind of tobacco (%),9.2,6.4,False,False
Jharkhand,Chatra,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),91,Men age 15 years and above who use any kind of tobacco (%),48.2,49.7,False,False
Jharkhand,Chatra,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),92,Women age 15 years and above who consume alcohol (%),8.4,5.9,False,False
Jharkhand,Chatra,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),93,Men age 15 years and above who consume alcohol (%),41.5,38.7,False,False
Jharkhand,Deoghar,Population and Household Profile,1,Population below age 5 years (%),11.1,10.6,False,False
Jharkhand,Deoghar,Population and Household Profile,2,Population below age 15 years (%),34.3,36.0,False,False
Jharkhand,Deoghar,Population and Household Profile,3,Population age 60 years and above (%),10.5,10.8,False,False
Jharkhand,Deoghar,Population and Household Profile,4,Population living in households with electricity (%),98.0,95.6,False,False
Jharkhand,Deoghar,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),91.0,90.8,False,False
Jharkhand,Deoghar,Population and Household Profile,6,Households using iodized salt (%),94.4,98.3,False,False
Jharkhand,Deoghar,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),58.6,53.8,False,False
Jharkhand,Deoghar,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.5,94.9,False,False
Jharkhand,Deoghar,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),63.7,59.8,False,False
Jharkhand,Deoghar,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),9.8,8.8,False,False
Jharkhand,Deoghar,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),41.0,27.9,False,False
Jharkhand,Deoghar,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),26.1,19.7,False,False
Jharkhand,Deoghar,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),54.3,39.4,False,False
Jharkhand,Deoghar,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),68.3,24.9,False,False
Jharkhand,Deoghar,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),84.8,57.9,False,False
Jharkhand,Deoghar,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),48.1,49.2,False,False
Jharkhand,Deoghar,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Jharkhand,Deoghar,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),2.4,2.7,False,False
Jharkhand,Deoghar,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),21.3,20.2,False,False
Jharkhand,Deoghar,Marriage and Fertility,20,Any method2 (%),64.8,65.4,False,False
Jharkhand,Deoghar,Marriage and Fertility,21,Any modern method2 (%),44.6,48.5,False,False
Jharkhand,Deoghar,Marriage and Fertility,22,Any traditional method (%),20.2,16.9,False,False
Jharkhand,Deoghar,Marriage and Fertility,23,Female sterilization (%),35.6,40.1,False,False
Jharkhand,Deoghar,Marriage and Fertility,24,Male sterilization (%),0.3,0.2,False,False
Jharkhand,Deoghar,Marriage and Fertility,25,Total unmet need3 (%),14.3,11.1,False,False
